Profiler output for flat cell storage:

10 tests, 27 assertions, 0 failures, 0 errors
Thread ID: 109440
Total: 551.939148

 %self     total     self     wait    child    calls  name
  0.00      0.00     0.00     0.00     0.00       59  Kernel#raise
  0.00      0.00     0.00     0.00     0.00     1201  Array#[]=
  0.00      0.02     0.00     0.00     0.01        4  Kernel#gem_original_require
  0.00     87.81     0.00     0.00    87.81      590  Enumerable#each_with_index
  0.00    291.16     0.00     0.00   291.16       69  Grid#solve_with_guesses-1
  0.00      0.00     0.00     0.00     0.00     1184  Array#first
  0.00      0.01     0.00     0.00     0.00       79  Grid#initialize
  0.00      0.00     0.00     0.00     0.00     1204  Fixnum#*
  0.00      0.00     0.00     0.00     0.00      156  OptionParser::List#search
  0.00      0.00     0.00     0.00     0.00      824  String#==
  0.00      0.01     0.00     0.00     0.01       64  Test::Unit::Util::Observable#notify_listeners
  0.00      0.03     0.00     0.00     0.03      168  Class#new
  0.00      0.00     0.00     0.00     0.00      487  String#<<
  0.00      0.01     0.00     0.00     0.01        1  Kernel#load
  0.00      0.01     0.00     0.00     0.00       52  Array#reverse_each
  0.00      0.00     0.00     0.00     0.00       27  Test::Unit::Assertions#_wrap_assertion
  0.00      0.00     0.00     0.00     0.00      370  String#to_i
  0.00      0.00     0.00     0.00     0.00      156  Hash#fetch
  0.00      0.01     0.00     0.00     0.01       52  OptionParser#visit
  0.00      0.00     0.00     0.00     0.00      117  Test::Unit::Util::Observable#channels
  0.00      0.00     0.00     0.00     0.00      343  Module#===
  0.00      0.01     0.00     0.00     0.01       14  OptionParser#make_switch
  0.00      0.00     0.00     0.00     0.00      291  <Class::Object>#allocate
  0.00      0.00     0.00     0.00     0.00      156  Kernel#send
  0.00      0.04     0.00     0.00     0.04       91  Grid#solved?
  0.00      0.00     0.00     0.00     0.00      248  Fixnum#to_s
  0.00      0.01     0.00     0.00     0.01       10  Array#map
  0.00      0.00     0.00     0.00     0.00       79  Kernel#clone
  0.00      0.00     0.00     0.00     0.00      273  Module#>
  0.00      0.00     0.00     0.00     0.00       61  Proc#call
  0.00      0.00     0.00     0.00     0.00       10  <Class::IO>#readlines
  0.00      0.01     0.00     0.00     0.01       51  OptionParser#search
  0.00     11.88     0.00     0.00    11.88       71  Grid#solvable?
  0.00      0.00     0.00     0.00     0.00      175  Module#method_added
  0.00      0.00     0.00     0.00     0.00       37  Test::Unit::Util::Observable#notify_listeners-1
  0.00      0.00     0.00     0.00     0.00       15  Array#delete_if
  0.00      0.00     0.00     0.00     0.00       79  Range#each
  0.00      0.00     0.00     0.00     0.00      243  Fixnum#-
  0.00     65.40     0.00     0.00    65.40       72  Grid#solve_determinate_cells
  0.00      0.00     0.00     0.00     0.00      158  <Module::Math>#sqrt
  0.00      0.00     0.00     0.00     0.00      231  Kernel#hash
  0.00     87.89     0.00     0.00    87.89       10  Test::Unit::TestCase#run
  0.00      0.00     0.00     0.00     0.00      106  Kernel#===
  0.00      0.00     0.00     0.00     0.00       14  OptionParser::List#update
  0.00      0.00     0.00     0.00     0.00      171  Regexp#===
  0.00      0.00     0.00     0.00     0.00       91  String#split
  0.00     87.89     0.00     0.00    87.89      166  Kernel#__send__
  0.00      0.00     0.00     0.00     0.00       79  Enumerable#to_a
  0.00      0.00     0.00     0.00     0.00       57  <Class::Exception>#exception
  0.00      0.00     0.00     0.00     0.00      158  Float#to_i
  0.00      0.00     0.00     0.00     0.00       37  IO#write
  0.00      0.01     0.00     0.00     0.01       27  Test::Unit::Assertions#assert_equal
  0.00      0.00     0.00     0.00     0.00       10  Array#flatten
  0.00      0.00     0.00     0.00     0.00       20  Test::Unit::UI::Console::TestRunner#output_single
  0.00      0.00     0.00     0.00     0.00       27  Test::Unit::TestResult#add_assertion
  0.00      0.00     0.00     0.00     0.00        7  Test::Unit::Util::Observable#add_listener
  0.00      0.00     0.00     0.00     0.00       27  Test::Unit::Assertions#build_message
  0.00      0.00     0.00     0.00     0.00      111  <Class::Array>#allocate
  0.00      0.00     0.00     0.00     0.00       58  Exception#initialize
  0.00      0.00     0.00     0.00     0.00       16  Test::Unit::UI::Console::TestRunner#output
  0.00      0.00     0.00     0.00     0.00       79  Array#initialize_copy
  0.00      0.00     0.00     0.00     0.00       28  Hash#invert
  0.00      0.00     0.00     0.00     0.00       36  IO#flush
  0.00      0.00     0.00     0.00     0.00       27  Test::Unit::Assertions::AssertionMessage#initialize
  0.00      0.00     0.00     0.00     0.00        9  Test::Unit::Util::ProcWrapper#initialize
  0.00      0.00     0.00     0.00     0.00       36  Test::Unit::UI::Console::TestRunner#output?
  0.00      0.00     0.00     0.00     0.00       20  Test::Unit::TestCase#name
  0.00      0.00     0.00     0.00     0.00       10  Test::Unit::TestCase#initialize
  0.00      0.00     0.00     0.00     0.00       28  String#sub
  0.00      0.00     0.00     0.00     0.00       99  Symbol#===
  0.00      0.00     0.00     0.00     0.00      103  Kernel#==
  0.00      0.00     0.00     0.00     0.00       60  Exception#set_backtrace
  0.00      0.02     0.00     0.00     0.02       22  Kernel#require-1
  0.00      0.00     0.00     0.00     0.00       10  Test::Unit::UI::Console::TestRunner#test_finished
  0.00      0.01     0.00     0.00     0.01       10  <Class::Grid>#load
  0.00      0.00     0.00     0.00     0.00       14  OptionParser::List#append
  0.00      0.00     0.00     0.00     0.00       27  Test::Unit::TestCase#add_assertion
  0.00      0.00     0.00     0.00     0.00       59  Hash#values
  0.00      0.00     0.00     0.00     0.00       27  Test::Unit::Assertions#assert_block
  0.00      0.00     0.00     0.00     0.00       22  Class#new-1
  0.00      0.00     0.00     0.00     0.00       76  Kernel#block_given?
  0.00      0.00     0.00     0.00     0.00       61  Array#size
  0.00      0.00     0.00     0.00     0.00       12  OptionParser::Switch#initialize
  0.00      0.01     0.00     0.00     0.01        8  OptionParser#define
  0.00      0.02     0.00     0.00     0.02        1  OptionParser#initialize
  0.00      0.00     0.00     0.00     0.00       60  Exception#backtrace
  0.00      0.00     0.00     0.00     0.00        8  Module#attr_reader
  0.00      0.00     0.00     0.00     0.00       14  Hash#update
  0.00      0.00     0.00     0.00     0.00       51  Hash#default
  0.00      0.00     0.00     0.00     0.00        2  Module#attr_accessor
  0.00      0.00     0.00     0.00     0.00        5  <Class::OptionParser::Switch>#guess
  0.00      0.00     0.00     0.00     0.00        1  Module#public_instance_methods
  0.00     87.30     0.00     0.00    87.30        3  Grid#solve_with_guesses
  0.00      0.00     0.00     0.00     0.00       41  Hash#[]=
  0.00      0.00     0.00     0.00     0.00       47  Array#[]
  0.00      0.00     0.00     0.00     0.00       32  Array#initialize
  0.00      0.00     0.00     0.00     0.00       10  Test::Unit::TestResult#add_run
  0.00      0.00     0.00     0.00     0.00        6  OptionParser#define_tail
  0.00      0.00     0.00     0.00     0.00       27  String#chomp
  0.00      0.07     0.00     0.00     0.07        1  GridTester#test_unused_values_for_cell
  0.00      0.00     0.00     0.00     0.00       33  Hash#keys
  0.00      0.00     0.00     0.00     0.00       11  Kernel#catch
  0.00      0.00     0.00     0.00     0.00        3  Hash#each
  0.00      0.00     0.00     0.00     0.00       10  Test::Unit::Collector#include?
  0.00      0.00     0.00     0.00     0.00       10  Test::Unit::UI::Console::TestRunner#test_started
  0.00      0.00     0.00     0.00     0.00        2  Test::Unit::Util::Observable#remove_listener
  0.00      0.01     0.00     0.00     0.01        8  OptionParser#on
  0.00      0.00     0.00     0.00     0.00       28  Module#name
  0.00      0.00     0.00     0.00     0.00       11  Test::Unit::TestSuite#<<
  0.00      0.00     0.00     0.00     0.00       12  Test::Unit::UI::Console::TestRunner#nl
  0.00      0.00     0.00     0.00     0.00       37  Array#empty?
  0.00      0.00     0.00     0.00     0.00       36  Fixnum#<=
  0.00      0.00     0.00     0.00     0.00       24  Module#public
  0.00      0.00     0.00     0.00     0.00        9  Kernel#puts
  0.00      0.00     0.00     0.00     0.00        3  Array#collect
  0.00     87.94     0.00     0.00    87.94        1  Global#[No method]
  0.00     87.90     0.00     0.00    87.90        1  Test::Unit::UI::TestRunnerMediator#run_suite
  0.00      0.00     0.00     0.00     0.00       20  Test::Unit::TestCase#size
  0.00      0.00     0.00     0.00     0.00       31  Array#push
  0.00      0.00     0.00     0.00     0.00       12  Array#hash-1
  0.00      0.00     0.00     0.00     0.00       21  String#+
  0.00      0.00     0.00     0.00     0.00       29  Kernel#class
  0.00      0.00     0.00     0.00     0.00       18  Class#inherited
  0.00      0.00     0.00     0.00     0.00        7  Module#include
  0.00      0.00     0.00     0.00     0.00        4  Test::Unit::Util::ProcWrapper#eql?
  0.00      0.00     0.00     0.00     0.00       11  Module#private
  0.00      0.00     0.00     0.00     0.00        7  OptionParser#notwice
  0.00      0.00     0.00     0.00     0.00        7  Module#append_features
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::UI::Console::TestRunner#attach_to_mediator
  0.00      0.00     0.00     0.00     0.00        6  OptionParser#on_tail
  0.00      0.48     0.00     0.00     0.48        1  GridTester#test_grid_solvable
  0.00      0.00     0.00     0.00     0.00        8  OptionParser#top
  0.00      0.00     0.00     0.00     0.00        6  IO#puts
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::AutoRunner#initialize
  0.00      0.00     0.00     0.00     0.00       17  Kernel#method
  0.00      0.00     0.00     0.00     0.00        9  Proc#to_s
  0.00      0.00     0.00     0.00     0.00        2  Test::Unit::AutoRunner#keyword_display
  0.00      0.00     0.00     0.00     0.00        9  <Class::OptionParser::Switch::NoArgument>#pattern
  0.00      0.00     0.00     0.00     0.00       11  Test::Unit::Util::ProcWrapper#hash
  0.00      0.00     0.00     0.00     0.00        1  <Class::Test::Unit::TestCase>#suite
  0.00      0.00     0.00     0.00     0.00        7  OptionParser#base
  0.00      0.00     0.00     0.00     0.00        9  Kernel#inspect
  0.00      0.01     0.00     0.00     0.01        3  Grid#to_s
  0.00      0.01     0.00     0.00     0.01        2  Proc#[]
  0.00      0.00     0.00     0.00     0.00       12  Kernel#singleton_method_added
  0.00     87.30     0.00     0.00    87.30        3  Grid#solve
  0.00      0.00     0.00     0.00     0.00       15  Kernel#respond_to?
  0.00      0.00     0.00     0.00     0.00        2  OptionParser::List#initialize
  0.00      0.00     0.00     0.00     0.00        7  Method#to_proc
  0.00      0.49     0.00     0.00     0.49        1  GridTester#test_solve_easy_grid
  0.00      0.00     0.00     0.00     0.00        1  GridTester#test_zone_for
  0.00      0.00     0.00     0.00     0.00        3  Array#hash
  0.00      0.00     0.00     0.00     0.00        7  Kernel#proc
  0.00      0.02     0.00     0.00     0.02        4  Kernel#require
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::UI::Console::TestRunner#finished
  0.00      0.01     0.00     0.00     0.01        1  GridTester#test_unused_values_for_zone
  0.00      0.00     0.00     0.00     0.00        1  GridTester#test_grid_valid
  0.00      0.00     0.00     0.00     0.00        3  Grid#[]
  0.00     24.90     0.00     0.00    24.90        1  GridTester#test_solve_medium_grid
  0.00     61.93     0.00     0.00    61.93        1  GridTester#test_solve_hard_grid
  0.00      0.00     0.00     0.00     0.00        9  String#hex
  0.00      0.01     0.00     0.00     0.01        1  GridTester#test_unused_values_for_col
  0.00     87.92     0.00     0.00    87.92        1  <Class::Test::Unit::AutoRunner>#run
  0.00      0.00     0.00     0.00     0.00       10  String#downcase
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::TestResult#to_s
  0.00      0.02     0.00     0.00     0.02        1  Test::Unit::AutoRunner#process_args
  0.00      0.00     0.00     0.00     0.00        9  Module#to_s
  0.00      0.00     0.00     0.00     0.00        9  Symbol#to_s
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::UI::Console::TestRunner#setup_mediator
  0.00      0.00     0.00     0.00     0.00        7  Module#included
  0.00     87.91     0.00     0.00    87.91        1  Test::Unit::AutoRunner#run
  0.00      0.00     0.00     0.00     0.00        6  <Class::Hash>#allocate
  0.00     87.89     0.00     0.00    87.89        1  Test::Unit::TestSuite#run-1
  0.00      0.00     0.00     0.00     0.00        1  Kernel#exit
  0.00      0.00     0.00     0.00     0.00       10  Method#arity
  0.00     87.89     0.00     0.00    87.89        1  Test::Unit::TestSuite#run
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::Collector#add_suite
  0.00      0.01     0.00     0.00     0.01        1  GridTester#test_unused_values_for_row
  0.00      0.01     0.00     0.00     0.01        1  Test::Unit::Collector::ObjectSpace#collect
  0.00      0.00     0.00     0.00     0.00        9  Array#fetch
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::UI::Console::TestRunner#initialize
  0.00      0.00     0.00     0.00     0.00        1  OptionParser#parse_in_order
  0.00      0.00     0.00     0.00     0.00       10  Test::Unit::TestCase#setup
  0.00      0.00     0.00     0.00     0.00       10  Test::Unit::TestCase#teardown
  0.00      0.00     0.00     0.00     0.00        2  Test::Unit::TestSuite#size
  0.00      0.00     0.00     0.00     0.00        1  OptionParser#add_officious
  0.00      0.00     0.00     0.00     0.00        1  Float#to_s
  0.00      0.00     0.00     0.00     0.00        1  Module#attr_writer
  0.00      0.00     0.00     0.00     0.00        4  Test::Unit::Util::ProcWrapper#to_proc
  0.00      0.00     0.00     0.00     0.00        6  Hash#initialize
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::Collector#filter=
  0.00     87.90     0.00     0.00    87.90        1  Test::Unit::UI::Console::TestRunner#start
  0.00      0.00     0.00     0.00     0.00        2  Hash#has_key?
  0.00      0.00     0.00     0.00     0.00        2  Hash#delete
  0.00      0.00     0.00     0.00     0.00        2  <Class::Proc>#new
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::TestResult#initialize
  0.00      0.00     0.00     0.00     0.00        2  <Class::Time>#now
  0.00      0.00     0.00     0.00     0.00        2  Test::Unit::TestSuite#initialize
  0.00      0.00     0.00     0.00     0.00        1  <Class::Test::Unit::AutoRunner>#standalone?
  0.00      0.00     0.00     0.00     0.00        2  Solved#initialize
  0.00     87.90     0.00     0.00    87.90        1  Test::Unit::UI::TestRunnerUtilities#run
  0.00      0.00     0.00     0.00     0.00        1  OptionParser#banner
  0.00      0.00     0.00     0.00     0.00        5  Module#>=
  0.00      0.00     0.00     0.00     0.00        1  Enumerable#find_all
  0.00      0.00     0.00     0.00     0.00        4  Proc#==
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::TestSuite#size-1
  0.00      0.00     0.00     0.00     0.00        2  <Module::Test::Unit>#run=
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::UI::Console::TestRunner#started
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::TestSuite#to_s
  0.00      0.00     0.00     0.00     0.00        5  <Class::OptionParser::Switch::NoArgument>#incompatible_argument_styles
  0.00      0.00     0.00     0.00     0.00        3  String#initialize
  0.00      0.00     0.00     0.00     0.00        1  Kernel#extend
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::TestResult#passed?
  0.00      0.02     0.00     0.00     0.02        1  Test::Unit::AutoRunner#options
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::Collector::ObjectSpace#initialize
  0.00      0.00     0.00     0.00     0.00        3  <Class::String>#allocate
  0.00      0.00     0.00     0.00     0.00        2  Kernel#instance_variable_get
  0.00      0.00     0.00     0.00     0.00        1  Module#extended
  0.00      0.00     0.00     0.00     0.00        1  OptionParser#order!
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::Collector#sort
  0.00      0.00     0.00     0.00     0.00        2  Array#join
  0.00      0.00     0.00     0.00     0.00        1  Array#shift
  0.00     87.90     0.00     0.00    87.90        1  Test::Unit::UI::Console::TestRunner#start_mediator
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::TestResult#error_count
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::TestSuite#empty?
  0.00      0.00     0.00     0.00     0.00        1  <Module::Test::Unit>#run?
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::UI::TestRunnerMediator#create_result
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::TestResult#failure_count
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::UI::Console::TestRunner#create_mediator
  0.00      0.00     0.00     0.00     0.00        1  Array#sort
  0.00      0.00     0.00     0.00     0.00        2  Time#initialize
  0.00      0.00     0.00     0.00     0.00        1  SystemExit#initialize
  0.00      0.00     0.00     0.00     0.00        1  Module#extend_object
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::Collector#initialize
  0.00      0.00     0.00     0.00     0.00        1  Enumerable#collect
  0.00      0.00     0.00     0.00     0.00        1  Array#sort!
  0.00      0.00     0.00     0.00     0.00        2  <Class::Time>#allocate
  0.00      0.00     0.00     0.00     0.00        1  Test::Unit::UI::TestRunnerMediator#initialize
  0.00      0.00     0.00     0.00     0.00        2  Object#initialize
  0.00      0.00     0.00     0.00     0.00        2  Exception#exception
  0.00      0.00     0.00     0.00     0.00        1  String#*
  0.00      0.00     0.00     0.00     0.00        1  Kernel#at_exit
  0.00      0.00     0.00     0.00     0.00        2  Kernel#instance_of?
  0.00      0.00     0.00     0.00     0.00        1  Time#-
  0.00      0.00     0.00     0.00     0.00        1  Kernel#__id__
  0.00      0.00     0.00     0.00     0.00        1  Kernel#kind_of?


Profiler output for multidimensional array storage:

Thread ID: 109440
Total: 461.829729

 %self     total     self     wait    child    calls  name
  7.73    461.83    35.71     0.00   426.12   340505  Array#each-1
  0.97      6.63     4.50     0.00     2.13   481500  Grid#zone_for
  0.68      3.12     3.12     0.00     0.00  1428736  Kernel#nil?
  0.63      2.93     2.93     0.00     0.00  1378352  Fixnum#==
  0.62      2.88     2.88     0.00     0.00  1326818  NilClass#nil?
  0.46      2.13     2.13     0.00     0.00   963000  Fixnum#/
  0.42      2.87     1.96     0.00     0.91   471862  Array#==
  0.34    162.66     1.57     0.00   161.09   339576  Enumerable#each_with_index-1
  0.06      0.29     0.29     0.00     0.00   128709  Array#<<
  0.05     54.35     0.22     0.00    54.13    33531  Grid#each_cell_with_index-1
  0.04     24.90     0.20     0.00    24.70    11220  Grid#unused_values_for_zone
  0.04     55.61     0.18     0.00    55.43    11217  Grid#unused_values_for_cell
  0.03     15.23     0.15     0.00    15.08    11219  Grid#unused_values_for_col
  0.03     15.21     0.15     0.00    15.06    11219  Grid#unused_values_for_row
  0.03      0.14     0.14     0.00     0.00    33658  Array#-
  0.02      0.10     0.10     0.00     0.00    22434  Array#&
  0.00      0.02     0.02     0.00     0.00     9691  Array#length
  0.00      0.02     0.01     0.00     0.01     1201  Grid#set
  0.00      0.02     0.01     0.00     0.01       22  Kernel#gem_original_require-1
  0.00      0.02     0.01     0.00     0.02       31  Enumerable#sort_by
  0.00      0.01     0.01     0.00     0.00     3133  Fixnum#<=>
  0.00      0.01     0.01     0.00     0.00       90  Array#map-1
  0.00     42.12     0.00     0.00    42.12       72  Kernel#loop
  0.00      0.01     0.00     0.00     0.00        1  <Module::ObjectSpace>#each_object
  0.00      0.00     0.00     0.00     0.00     1554  Hash#[]
  0.00     56.37     0.00     0.00    56.37       52  Array#each
  0.00     56.26     0.00     0.00    56.26      498  Grid#each_cell_with_index
  0.00      0.00     0.00     0.00     0.00     1330  Array#[]
  0.00      0.00     0.00     0.00     0.00       59  Kernel#raise
  0.00      0.00     0.00     0.00     0.00     1201  Array#[]=
  0.00      0.01     0.00     0.00     0.01       79  Grid#initialize
  0.00      0.00     0.00     0.00     0.00     1182  Fixnum#+
  0.00    188.07     0.00     0.00   188.07       69  Grid#solve_with_guesses-1
  0.00      0.00     0.00     0.00     0.00     1184  Array#first
  0.00     56.26     0.00     0.00    56.25      499  Enumerable#each_with_index
  0.00      0.01     0.00     0.00     0.01        4  Kernel#gem_original_require
  0.00      0.00     0.00     0.00     0.00      156  OptionParser::List#search
  0.00      0.00     0.00     0.00     0.00       79  <Module::Marshal>#dump
  0.00      0.00     0.00     0.00     0.00      824  String#==
  0.00      0.01     0.00     0.00     0.01       64  Test::Unit::Util::Observable#notify_listeners
  0.00      0.03     0.00     0.00     0.03      168  Class#new
  0.00      0.00     0.00     0.00     0.00       79  <Module::Marshal>#load
  0.00      0.00     0.00     0.00     0.00      487  String#<<
  0.00      0.01     0.00     0.00     0.00       52  Array#reverse_each
  0.00      0.00     0.00     0.00     0.00       27  Test::Unit::Assertions#_wrap_assertion
  0.00      0.00     0.00     0.00     0.00      370  String#to_i
  0.00      0.00     0.00     0.00     0.00      156  Hash#fetch
  0.00      0.01     0.00     0.00     0.01       52  OptionParser#visit
  0.00      0.00     0.00     0.00     0.00      343  Module#===
  0.00      0.00     0.00     0.00     0.00      117  Test::Unit::Util::Observable#channels
  0.00      0.01     0.00     0.00     0.01       14  OptionParser#make_switch
  0.00      0.00     0.00     0.00     0.00      291  <Class::Object>#allocate
  0.00      0.00     0.00     0.00     0.00      156  Kernel#send
  0.00      0.02     0.00     0.00     0.02       91  Grid#solved?
  0.00      0.00     0.00     0.00     0.00      248  Fixnum#to_s
  0.00      0.01     0.00     0.00     0.01       10  Array#map
  0.00      0.00     0.00     0.00     0.00       10  <Class::IO>#readlines
  0.00      0.02     0.00     0.00     0.02       91  Grid#each_cell
  0.00      7.53     0.00     0.00     7.53       71  Grid#solvable?
  0.00      0.00     0.00     0.00     0.00       61  Proc#call
  0.00      0.00     0.00     0.00     0.00      273  Module#>
  0.00      0.01     0.00     0.00     0.01       51  OptionParser#search
  0.00      0.00     0.00     0.00     0.00       37  Test::Unit::Util::Observable#notify_listeners-1
  0.00      0.01     0.00     0.00     0.01        1  Kernel#load
  0.00      0.00     0.00     0.00     0.00      243  Fixnum#-
  0.00      0.00     0.00     0.00     0.00       15  Array#delete_if
  0.00     56.36     0.00     0.00    56.36       10  Test::Unit::TestCase#run
  0.00     42.12     0.00     0.00    42.12       72  Grid#solve_determinate_cells
  0.00      0.00     0.00     0.00     0.00      231  Kernel#hash
  0.00      0.00     0.00     0.00     0.00       79  Range#each
  0.00      0.00     0.00     0.00     0.00      171  Regexp#===
  0.00      0.00     0.00     0.00     0.00       14  OptionParser::List#update
  0.00      0.00     0.00     0.00     0.00       91  String#split
  0.00      0.00     0.00     0.00     0.00       37  IO#write
  0.00      0.00     0.00     0.00     0.00      106  Kernel#===
  0.00      0.00     0.00     0.00     0.00       79  Enumerable#to_a
  0.00      0.00     0.00     0.00     0.00      176  Module#method_added
  0.00     56.35     0.00     0.00    56.35      166  Kernel#__send__
  0.00      0.00     0.00     0.00     0.00       57  <Class::Exception>#exception
  0.00      0.01     0.00     0.00     0.01       27  Test::Unit::Assertions#assert_equal
  0.00      0.00     0.00     0.00     0.00        7  Test::Unit::Util::Observable#add_listener
  0.00      0.00     0.00     0.00     0.00       27  Test::Unit::Assertions#build_message
  0.00      0.00     0.00     0.00     0.00       20  Test::Unit::UI::Console::TestRunner#output_single
  0.00      0.00     0.00     0.00     0.00       27  Test::Unit::TestResult#add_assertion
  0.00      0.00     0.00     0.00     0.00       79  <Module::Math>#sqrt
  0.00      0.00     0.00     0.00     0.00       58  Exception#initialize
  0.00      0.00     0.00     0.00     0.00       36  IO#flush
  0.00      0.00     0.00     0.00     0.00       16  Test::Unit::UI::Console::TestRunner#output
  0.00      0.00     0.00     0.00     0.00        9  Test::Unit::Util::ProcWrapper#initialize
  0.00      0.00     0.00     0.00     0.00       28  Hash#invert
  0.00      0.00     0.00     0.00     0.00       79  Float#to_i
  0.00      0.00     0.00     0.00     0.00       27  Test::Unit::Assertions::AssertionMessage#initialize
  0.00      0.00     0.00     0.00     0.00       36  Test::Unit::UI::Console::TestRunner#output?
  0.00      0.00     0.00     0.00     0.00       20  Test::Unit::TestCase#name
  0.00      0.00     0.00     0.00     0.00       10  Test::Unit::TestCase#initialize
  0.00      0.00     0.00     0.00     0.00      103  Kernel#==
  0.00      0.00     0.00     0.00     0.00       28  String#sub
  0.00      0.00     0.00     0.00     0.00       60  Exception#set_backtrace
  0.00      0.00     0.00     0.00     0.00       10  Test::Unit::UI::Console::TestRunner#test_finished
  0.00      0.00     0.00     0.00     0.00       99  Symbol#===
  0.00      0.00     0.00     0.00     0.00       27  Test::Unit::Assertions#assert_block
  0.00      0.00     0.00     0.00     0.00       27  Test::Unit::TestCase#add_assertion
  0.00      0.01     0.00     0.00     0.01       10  <Class::Grid>#load
  0.00      0.00     0.00     0.00     0.00       59  Hash#values
  0.00      0.00     0.00     0.00     0.00       76  Kernel#block_given?
  0.00      0.00     0.00     0.00     0.00       14  OptionParser::List#append
  0.00      0.00     0.00     0.00     0.00       22  Class#new-1
  0.00      0.00     0.00     0.00     0.00       12  OptionParser::Switch#initialize
  0.00      0.02     0.00     0.00     0.02       22  Kernel#require-1
  0.00      0.00     0.00     0.00     0.00       61  Array#size
  0.00      0.00     0.00     0.00     0.00       60  Exception#backtrace
  0.00      0.00     0.00     0.00     0.00       10  Test::Unit::TestResult#add_run
  0.00      0.00     0.00     0.00     0.00       14  Hash#update
  0.00      0.02     0.00     0.00     0.02        1  OptionParser#initialize
  0.00      0.00     0.00     0.00     0.00       10  Test::Unit::Collector#include?
  0.00      0.01     0.00     0.00     0.01        8  OptionParser#define
  0.00      0.00     0.00     0.00     0.00        5  <Class::OptionParser::Switch>#guess
  0.00     55.98     0.00     0.00    55.98        3  Grid#solve_with_guesses
  0.00      0.00     0.00     0.00     0.00       51  Hash#default
  0.00      0.00     0.00     0.00     0.00       41  Hash#[]=
  0.00      0.00     0.00     0.00     0.00        1  Module#public_instance_methods
  0.00      0.00     0.00     0.00     0.00       32  Array#initialize
  0.00      0.00     0.00     0.00     0.00        8  Module#attr_reader
  0.00      0.00     0.00     0.00     0.00        6  OptionParser#define_tail
  0.00      0.00     0.00     0.00     0.00       27  String#chomp
  0.00      0.00     0.00     0.00     0.00       11  Kernel#catch
